GENDER,MARRITAL_STATUS,BVN,MEANS_OF_IDENTIFICATION,EMAIL_ADDRESS,TYPE_OF_LOAN,MONTHLY_INCOME_TOTAL,LOAN_AMOUNT,OUTSTANDING_LOAN_BALANCE,COUNT_OF_CHILDREN,YEAR_OF_BIRTH,YEARS_IN_PRESENT_EMPLOYMENT,OCCUPATION_TYPE,EMPLOYMENT_TYPE,OWN_A_CAR,OWN_A_HOUSE,EDUCATIONAL_QUALIFICATION,HOUSE_TYPE,APARTMENT_TYPE,ACCOMODATION_TYPE,LIVING_REGION_CONDITION,DSTV_OR_GOtv_LASTDAY_RECHARGE,NEPA_LASTDAY_PAY,PHONE_LASTDAY_RECHARGE,TARGET
male,widowed,98376374851,National ID Card,yes,personal home loan,100000,5000,1000,0,1967,two years,Laborer,contract,yes,no,Graduate,Bungalow,Studio,Rented,very good,less than three weeks ago,a month ago,a year ago,0
male,single,33476876754,National Driver’s Licence,yes,joint mortgage,78000,11000,3000,5,2000,three years,Accountant,permanet,yes,yes,Post Graduate,Mansion,one room,Rented,good,a month ago,less than six months,less than three weeks ago,0
female,married,43876476544,Int’l Passport,no,automobile loan,20000000,20000,6000,7,1973,less than one year,Accountant,permanet,no,yes,Diploma,block of flats,two rooms,owned,very good,two months ago,a month ago,less than three weeks ago,0
male,single,87650467384,National ID Card,yes,joint mortgage,500000,3000,500,1,1965,five years,Laborer,contract,yes,no,Professional,Penthouse,three rooms,Rented,very bad,less than three weeks ago,less than three weeks ago,less than three weeks ago,1
female,widowed,98765805454,NIN,yes,salary loan,30000,200000,2000,0,2008,two years,Driver,contract,yes,no,Post Graduate,Bungalow,two rooms,Rented,good,less than three weeks ago,two months ago,a month ago,0
female,married,78650854245,National Driver’s Licence,yes,personal home loan,50000,1000000,80000,0,2002,four years,Driver,permanet,no,no,Post Graduate,Terraced,Studio,Living with Parents/Friends/Family,bad,three months ago,less than three weeks ago,three months ago,1
female,divorced,86597845656,NIN,yes,automobile loan,200000,25000,10000,0,1998,less than one year,Laborer,contract,yes,yes,Graduate,Mansion,one room,Living with Parents/Friends/Family,very good,less than three weeks ago,a month ago,less than three weeks ago,1
male,married,26556556652,National ID Card,no,salary loan,4800000,250000,8700,8,1972,three years,Accountant,contract,yes,yes,Primary School Leaving Certificate,Semi-detached,three rooms,owned,bad,less than six months,three months ago,a month ago,0
female,single,45656565446,National Driver’s Licence,yes,joint mortgage,1000000,70000,21000,2,1973,three years,Driver,permanet,yes,yes,Diploma,block of flats,three rooms,Rented,bad,a month ago,a month ago,two months ago,1
female,divorced,46556546577,National Driver’s Licence,yes,secured overdraft,20000,300000,0,5,2006,two years,Accountant,contract,no,no,Professional,Detached,four rooms,Rented,very bad,three months ago,less than three weeks ago,a month ago,1
female,married,48769548705,Int’l Passport,no,personal home loan,7000000,23000,0,7,2000,less than one year,Driver,contract,no,yes,Post Graduate,block of flats,two rooms,Living with Parents/Friends/Family,good,less than three weeks ago,two months ago,less than three weeks ago,0
female,widowed,68457546643,NIN,yes,personal home loan,100000,36400,500,6,2000,six years,Accountant,permanet,no,no,Graduate,Bungalow,one room,owned,very good,two months ago,less than three weeks ago,less than three weeks ago,0
male,divorced,43265656542,National ID Card,yes,personal home loan,700000,580000,6000,21,2000,three years,Laborer,permanet,no,no,Secondary School,Duplex,Studio,Rented,very good,a month ago,less than three weeks ago,less than three weeks ago,1
female,divorced,65843435409,Int’l Passport,yes,secured overdraft,40000,80000,0,8,1985,two years,Driver,permanet,no,yes,Diploma,Mansion,four rooms,Official Quarters,bad,less than six months,a month ago,a month ago,1
male,divorced,93656465765,NIN,no,joint mortgage,30000,432000,5000,3,1964,five years,Laborer,contract,yes,no,Secondary School,face-me i face-you,four rooms,owned,very bad,less than three weeks ago,a month ago,a month ago,1
male,widowed,74878973745,Int’l Passport,no,secured overdraft,71000,7000000,0,4,1972,seven years,Accountant,contract,yes,no,Diploma,Penthouse,Studio,Rented,good,less than six months,less than three weeks ago,less than six months,0
male,divorced,87890546845,Int’l Passport,no,joint mortgage,630000,45600,45000,7,1959,two years,Accountant,permanet,yes,no,Secondary School,Detached,three rooms,Official Quarters,bad,three months ago,less than three weeks ago,less than three weeks ago,1
female,divorced,21454364645,Valid INEC Voter’s Card,no,personal home loan,130000,32000,20000,1,1988,two years,Driver,contract,yes,yes,Graduate,Bungalow,four rooms,Official Quarters,very good,two months ago,less than three weeks ago,a month ago,0
male,married,65642343544,National Driver’s Licence,no,automobile loan,400000,65000,10000,1,1976,eight years,Driver,contract,no,no,Secondary School,Semi-detached,one room,Living with Parents/Friends/Family,bad,less than three weeks ago,less than six months,a month ago,0
female,widowed,63265754754,National Driver’s Licence,yes,secured overdraft,19900,90000,4000,1,2004,less than one year,Laborer,contract,yes,no,Primary School Leaving Certificate,block of flats,five rooms,Rented,good,two months ago,a month ago,less than three weeks ago,1
male,divorced,75274645856,NIN,yes,joint mortgage,310000,63000,4000,1,2007,eight years,Driver,permanet,no,no,Diploma,Terraced,Studio,Rented,very bad,a month ago,less than three weeks ago,less than three weeks ago,0
male,widowed,98765677654,Int’l Passport,yes,automobile loan,19000,7600,50000,2,1963,nine years,teacher,contract,yes,no,Professional,Mansion,Studio,Living with Parents/Friends/Family,very good,less than three weeks ago,less than three weeks ago,less than three weeks ago,1
female,single,56787654345,Valid INEC Voter’s Card,yes,personal home loan,67000,10000,15000,3,1999,less than one year,Driver,contract,yes,no,Graduate,Duplex,three rooms,Rented,bad,a month ago,a year ago,less than three weeks ago,0
male,divorced,65456787657,National Driver’s Licence,no,salary loan,380000,490000,0,5,1995,nine years,Laborer,permanet,yes,yes,Post Graduate,block of flats,two rooms,owned,very good,less than three weeks ago,less than three weeks ago,a month ago,0
male,widowed,56789876545,NIN,yes,secured overdraft,76400,658000,0,2,1993,eight years,Driver,permanet,yes,yes,Graduate,Penthouse,four rooms,Official Quarters,very bad,less than three weeks ago,a month ago,less than six months,1
female,widowed,65456787658,National ID Card,no,secured overdraft,736000,876000,0,6,1992,five years,Laborer,contract,yes,yes,Professional,Terraced,one room,Living with Parents/Friends/Family,bad,a year ago,a year ago,a month ago,1
male,single,76545676876,Valid INEC Voter’s Card,yes,personal home loan,26000,53000,0,8,1999,nine years,teacher,permanet,yes,yes,Primary School Leaving Certificate,Bungalow,five rooms,Rented,bad,a month ago,a month ago,less than three weeks ago,1
female,divorced,89876544545,NIN,yes,automobile loan,15000,100000,0,3,2000,two years,Driver,contract,yes,no,Post Graduate,Semi-detached,three rooms,Rented,good,a month ago,less than three weeks ago,two months ago,0
female,married,67654346587,National Driver’s Licence,yes,personal home loan,70000,500000,0,6,1985,six years,teacher,contract,yes,yes,Diploma,block of flats,Studio,Living with Parents/Friends/Family,bad,a year ago,two months ago,less than three weeks ago,1
female,widowed,87656787656,Valid INEC Voter’s Card,yes,joint mortgage,894000,430000,0,2,1964,five years,Driver,contract,yes,no,Graduate,face-me i face-you,five rooms,Living with Parents/Friends/Family,bad,a month ago,less than three weeks ago,a year ago,0
male,married,76567898876,Valid INEC Voter’s Card,yes,joint mortgage,60000,30000000,7600,6,1972,four years,Laborer,contract,no,yes,Diploma,block of flats,one room,Official Quarters,very good,a month ago,less than three weeks ago,less than three weeks ago,0
female,married,35487579877,National ID Card,yes,personal home loan,100000,4000,600,4,1959,less than one year,Driver,permanet,no,yes,Primary School Leaving Certificate,Semi-detached,five rooms,Living with Parents/Friends/Family,very bad,less than three weeks ago,a month ago,less than three weeks ago,0
female,married,56876756459,National ID Card,yes,personal home loan,12000,29992000,1000000,2,1988,seven years,teacher,permanet,no,yes,Post Graduate,Semi-detached,five rooms,Rented,good,less than three weeks ago,less than three weeks ago,less than three weeks ago,0
female,widowed,68645465796,National Driver’s Licence,yes,joint mortgage,7000000,59988000,50000,45,1976,four years,Accountant,contract,no,yes,Diploma,Detached,five rooms,Official Quarters,very good,less than six months,less than three weeks ago,a month ago,1
female,divorced,86765897647,Valid INEC Voter’s Card,yes,secured overdraft,50000,48000,0,8,2004,six years,Driver,permanet,yes,yes,Professional,Penthouse,two rooms,Rented,very bad,two months ago,less than three weeks ago,three months ago,0
male,married,57536349776,Int’l Passport,no,automobile loan,2000,2000,45000,9,2007,less than one year,Laborer,contract,yes,yes,Diploma,Mansion,Studio,Rented,very bad,less than six months,less than three weeks ago,less than three weeks ago,1
female,single,75465648574,NIN,no,secured overdraft,40000,570000,78000,0,1963,five years,Accountant,contract,yes,yes,Secondary School,Semi-detached,five rooms,Official Quarters,bad,three months ago,less than three weeks ago,a month ago,1
male,divorced,98758937544,National ID Card,no,personal home loan,60000,380000,8300,5,1967,three years,teacher,contract,no,yes,Secondary School,Detached,three rooms,owned,very good,less than three weeks ago,less than three weeks ago,two months ago,0
male,single,64897698763,Valid INEC Voter’s Card,no,joint mortgage,2000,200000,85000,8,1994,two years,Driver,contract,no,yes,Diploma,Penthouse,Studio,Living with Parents/Friends/Family,very bad,less than three weeks ago,less than three weeks ago,a month ago,1
male,married,57965836385,NIN,yes,secured overdraft,4999,21000,0,0,1994,eight years,teacher,permanet,yes,no,Graduate,Bungalow,four rooms,Living with Parents/Friends/Family,good,less than three weeks ago,less than three weeks ago,less than three weeks ago,1
female,married,68876534654,Int’l Passport,yes,automobile loan,10000,13000,54000,3,1983,three years,Driver,permanet,yes,no,Diploma,Semi-detached,one room,owned,very good,two months ago,three months ago,less than three weeks ago,0
male,single,88768545598,National ID Card,yes,salary loan,30000,83000,47800,6,1979,four years,teacher,permanet,no,no,Secondary School,Terraced,five rooms,Rented,good,two months ago,less than three weeks ago,less than three weeks ago,0
female,divorced,87654865854,Valid INEC Voter’s Card,no,personal home loan,40000,70000,21000,2,1985,six years,Accountant,contract,yes,no,Primary School Leaving Certificate,block of flats,Studio,Rented,bad,a month ago,two months ago,a month ago,1
male,married,71174822974,National ID Card,no,personal home loan,1000000,99000,0,4,1968,two years,Driver,contract,yes,yes,Secondary School,face-me i face-you,five rooms,Rented,very bad,a month ago,less than three weeks ago,a month ago,1
